Name,Line Number,Station Number,xcoord,ycoord,zcoord,Bathy,Node ID
6250 1600 A2,6250,1600,361606.145,5876250.226,1200.695435,,A2
6250 1800 A1,6250,1800,361791.77,5876253.29,1197.27,,A1
6250 2000 D9,6250,2000,362003.382,5876254.395,1207.021851,,D9
6250 2200 KF,6250,2200,362194.8427,5876250.352,1198.931641,,KF
6250 2400 HT,6250,2400,362342.0971,5876252.034,1195.979736,,HT
6250 2600 VA,6250,2600,362597.1235,5876252.645,1210.604736,,VA
6250 2800 SW,6250,2800,362795.5999,5876252.21,1200.480469,,SW
6250 3000 E9,6250,3000,363000.3346,5876242.922,1158.343018,,E9
6250 3200 J0,6250,3200,363202.5115,5876268.78,1198.820801,,J0
6250 3400 NJ,6250,3400,363396.3105,5876309.354,1207.431274,,NJ
6250 3600 DC,6250,3600,363603.4967,5876251.713,1150.323242,,DC
6250 3800 SH,6250,3800,363805.6026,5876251.551,1166.487549,,SH
6250 4000 K6,6250,4000,364006.9011,5876248.971,1205.037354,,K6
6250 4200 MA,6250,4200,364204.0284,5876253.196,1233.769531,,MA
6250 4400 CG,6250,4400,364398.4087,5876250.494,1249.543213,,CG
6250 4600 PV,6250,4600,364601.0993,5876247.343,1255.61377,,PV
6250 4800 Z0,6250,4800,364798.6396,5876247.24,1146.910278,,Z0
6250 5000 2O,6250,5000,364999.2632,5876244.609,1119.469849,,2O
6250 5200 TL,6250,5200,365205.062,5876239.838,1105.656738,,TL
6250 5400 V2,6250,5400,365400.8113,5876233.354,1073.219849,,V2
6450 2600 JH,6450,2600,362605.4712,5876457.89,1192.769653,,JH
6450 2700 3N,6450,2700,362707.0047,5876457.105,1159.645508,,3N
6450 2800 2W,6450,2800,362797.12,5876455.86,1171.94,,2W
6450 2900 MT,6450,2900,362903.6326,5876458.063,1168.155884,,MT
6450 3000 OR,6450,3000,363002.9976,5876456.567,1200.567139,,OR
6450 3100 AZ,6450,3100,363103.2001,5876451.487,1209.088013,,AZ
6450 3200 HA,6450,3200,363201.4155,5876449.694,1219.055786,,HA
6450 3300 TA,6450,3300,363302.5007,5876452.051,1269.37207,,TA
6450 3400 M7,6450,3400,363401.9185,5876454.792,1235.869141,,M7
6450 3500 IR,6450,3500,363500.0223,5876451.449,1220.834961,,IR
6450 3600 N0,6450,3600,363598.8963,5876446.863,1181.781006,,N0
6650 1600 NF,6650,1600,361600.48,5876654.36,1177.45,,NF
6650 1800 NF,6650,1800,361799.027,5876650.41,1184.43,,NF
6650 2000 NF,6650,2000,362000.8296,5876647.295,1114.038574,,NF
6650 2200 NF,6650,2200,362198.75,5876653.75,1182.13,,NF
6650 2400 NF,6650,2400,362402.027,5876648.045,1176.29,,NF
6650 2600 NF,6650,2600,362600.798,5876650.47,1167.75,,NF
6650 2800 NF,6650,2800,362802.144,5876645.598,1177.51,,NF
6650 3000 NF,6650,3000,362998.967,5876649.195,1183.47,,NF
6650 3200 NF,6650,3200,363203.164,5876651.601,1228.87,,NF
6650 3400 NF,6650,3400,363405.137,5876652.381,1240.62,,NF
6650 3600 NF,6650,3600,363601.1539,5876649.499,1225.033325,,NF
6650 3800 NF,6650,3800,363810.7773,5876647.564,1189.065063,,NF
6650 4000 NF,6650,4000,363998.3602,5876642.366,1156.872803,,NF
6650 4200 NF,6650,4200,364195.1875,5876646.042,1161.112183,,NF
6650 4400 NF,6650,4400,364399.4025,5876652.301,1137.064819,,NF
6650 4600 NF,6650,4600,364597.68,5876640.45,1109.81,,NF
6650 4800 NF,6650,4800,364806.7582,5876641.053,1150.051758,,NF
6650 5000 NF,6650,5000,365009.4195,5876642.261,1114.873779,,NF
6650 5200 NF,6650,5200,365209.0064,5876641.559,1135.964844,,NF
6650 5400 NF,6650,5400,365420.2043,5876640.875,1135.125854,,NF
6650 5600 NF,6650,5600,365598.51,5876645.07,1124.68,,NF
6850 2600 NF,6850,2600,362594.9972,5876866.487,1182.442383,,NF
6850 2700 NF,6850,2700,362702.6434,5876868.532,1177.198975,,NF
6850 2800 NF,6850,2800,362804.6404,5876870.185,1207.652588,,NF
6850 2900 NF,6850,2900,362902.95,5876863.96,1192.51,,NF
6850 3000 NF,6850,3000,362998.55,5876861.5,1207.72,,NF
6850 3100 NF,6850,3100,363103.64,5876868.28,1220.3,,NF
6850 3200 NF,6850,3200,363196.5,5876852.29,1231.74,,NF
6850 3300 NF,6850,3300,363302.554,5876848.211,1245.463623,,NF
6850 3400 NF,6850,3400,363401.4507,5876847.07,1240.313599,,NF
6850 3500 NF,6850,3500,363506.3008,5876842.868,1146.657104,,NF
6850 3600 NF,6850,3600,363594.432,5876843.15,1139.5271,,NF
7050 1600 NF,7050,1600,361605.6532,5877054.042,1118.371582,,NF
7050 1800 NF,7050,1800,361799.4805,5877047.019,1124.028076,,NF
7050 2000 NF,7050,2000,361999.0304,5877042.957,1130.125244,,NF
7050 2200 NF,7050,2200,362189.5718,5877043.057,1137.357544,,NF
7050 2400 NF,7050,2400,362390.1177,5877040.987,1146.897217,,NF
7050 2600 NF,7050,2600,362594.8251,5877031.904,1145.853394,,NF
7050 2800 NF,7050,2800,362806.582,5877032.313,1168.636963,,NF
7050 3000 NF,7050,3000,362993.7409,5877031.54,1189.192993,,NF
7050 3200 NF,7050,3200,363197.926,5877056.003,1195.809814,,NF
7050 3400 NF,7050,3400,363397.8063,5877051.878,1213.947266,,NF
7050 3600 NF,7050,3600,363604.1968,5877050.137,1191.666138,,NF
7050 3800 NF,7050,3800,363803.8105,5877057.947,1211.143311,,NF
7050 4000 NF,7050,4000,364009.1164,5877044.01,1141.082031,,NF
7050 4200 NF,7050,4200,364207.892,5877038.837,1061.953491,,NF
7050 4400 NF,7050,4400,364383.7358,5877029.644,1110.802856,,NF
7050 4600 NF,7050,4600,364608.1527,5877031.778,1010.852478,,NF
7050 4800 NF,7050,4800,364796.3115,5877030.936,1040.004517,,NF
7050 5000 NF,7050,5000,365003.234,5877029.129,1076.785034,,NF
7050 5200 NF,7050,5200,365199.1291,5877024.189,1065.623657,,NF
7050 5400 NF,7050,5400,365406.1012,5877024.178,1071.719727,,NF
7050 5600 NF,7050,5600,365597.3997,5877025.283,1078.354248,,NF
7250 2600 NF,7250,2600,362594.069,5877247.317,1118.311646,,NF
7250 2700 NF,7250,2700,362695.6014,5877249.425,1079.803589,,NF
7250 2800 NF,7250,2800,362792.96,5877242.62,1106.45,,NF
7250 2900 NF,7250,2900,362897.497,5877244.934,1160.62,,NF
7250 3000 NF,7250,3000,363001.0154,5877253.847,1166.454468,,NF
7250 3100 NF,7250,3100,363105.806,5877247.857,1162.827881,,NF
7250 3200 NF,7250,3200,363204.1076,5877244.947,1159.910034,,NF
7250 3300 NF,7250,3300,363301.6057,5877249.187,1156.898193,,NF
7250 3400 NF,7250,3400,363400.4275,5877257.509,1162.063599,,NF
7250 3500 NF,7250,3500,363512.9556,5877249.861,1163.302002,,NF
7250 3600 NF,7250,3600,363595.8727,5877246.394,1152.817383,,NF
7450 1600 NF,7450,1600,361598.7873,5877458.979,1093.881348,,NF
7450 1800 NF,7450,1800,361806.7859,5877473.922,1093.062988,,NF
7450 2000 NF,7450,2000,362000.9985,5877480.921,1092.480103,,NF
7450 2200 NF,7450,2200,362205.2719,5877476.064,1104.905396,,NF
7450 2400 NF,7450,2400,362399.8321,5877471.826,1108.958618,,NF
7450 2600 NF,7450,2600,362603.1277,5877472.691,1112.730103,,NF
7450 2800 NF,7450,2800,362801.3921,5877474.791,1048.78,,NF
7450 3000 NF,7450,3000,362996.1368,5877464.145,1086.149902,,NF
7450 3200 NF,7450,3200,363197.173,5877456.417,1124.035522,,NF
7450 3400 NF,7450,3400,363402.7096,5877455.915,1119.537109,,NF
7450 3600 NF,7450,3600,363601.0221,5877458.632,1093.755737,,NF
7450 3800 NF,7450,3800,363798.2086,5877457.16,1047.932129,,NF
7450 4000 NF,7450,4000,364007.5823,5877440.546,1072.577515,,NF
7450 4200 NF,7450,4200,364204.201,5877437.994,1118.812256,,NF
7450 4400 NF,7450,4400,364399.4574,5877458.529,1110.907471,,NF
7450 4600 NF,7450,4600,364603.2829,5877447.441,1093.929688,,NF
7450 4800 NF,7450,4800,364794.5112,5877444.174,1108.447266,,NF
7450 5000 NF,7450,5000,364984.3922,5877440.729,1118.06311,,NF
7450 5200 NF,7450,5200,365191.33,5877440.96,1139.13,,NF
7450 5400 NF,7450,5400,365397.7,5877441.522,1152.41,,NF
7450 5600 NF,7450,5600,365604.45,5877439.83,1153.31,,NF
7650 2600 NF,7650,2600,362602.2722,5877649.37,1097.250366,,NF
7650 2700 NF,7650,2700,362703.8353,5877645.8,1029.777344,,NF
7650 2800 NF,7650,2800,362806.1118,5877653.12,1070.257568,,NF
7650 2900 NF,7650,2900,362894.4205,5877653.05,1081.476074,,NF
7650 3000 NF,7650,3000,362998.7557,5877645.511,1057.807251,,NF
7650 3100 NF,7650,3100,363091.9717,5877645.749,1051.4198,,NF
7650 3200 NF,7650,3200,363202.1276,5877651.741,1072.282959,,NF
7650 3300 NF,7650,3300,363402.7751,5877647.148,1122.834351,,NF
7650 3300 NF,7650,3300,363301.34,5877646.91,1089.47,,NF
7650 3500 NF,7650,3500,363499.93,5877639.602,1105.530884,,NF
7650 3600 NF,7650,3600,363597.3454,5877636.503,1087.09729,,NF
7850 2200 NF,7850,2200,362197.4184,5877843.514,1011.256836,,NF
7850 2600 NF,7850,2600,362402.4574,5877851.888,1026.936523,,NF
7850 2600 NF,7850,2600,362602.6,5877848.4,1096.53,,NF
7850 2800 NF,7850,2800,362779.7368,5877824.628,1035.213867,,NF
7850 3400 NF,7850,3400,363393.8516,5877767.62,1071.773804,,NF
7850 3600 NF,7850,3600,363595.5596,5877833.688,1100.940674,,NF
7850 3800 NF,7850,3800,363801.3179,5877775.314,1130.074097,,NF
7850 4000 NF,7850,4000,364002.274,5877843.97,1066.45,,NF
7850 4200 NF,7850,4200,364194.7,5877850.4,1135.58,,NF
7850 4400 NF,7850,4400,364402.73,5877848.17,1067.42,,NF
7850 4600 NF,7850,4600,364599.2957,5877853.416,1142.3,,NF
7850 4800 NF,7850,4800,364799.048,5877852.981,1106.59,,NF
7850 5000 NF,7850,5000,364999.31,5877853.706,1258.42,,NF
7850 5200 NF,7850,5200,365198.324,5877851.451,1256.72,,NF
7850 5400 NF,7850,5400,365402.178,5877848.92,1280.5,,NF
7850 5600 NF,7850,5600,365597.416,5877851.032,1114.9,,NF
